Question,Answer
What is a partial index?,"An index that only includes rows matching a condition. Example: Index only PENDING applications, not all applications."
How do you create a partial index in Django?,"models.Index(fields=['created_at'], condition=Q(status='PENDING'))"
What is unique_together in Django Meta?,"Ensures combination of fields is unique. Example: unique_together = ['student', 'course'] prevents duplicate enrollments."
What replaced unique_together in newer Django?,UniqueConstraint in Meta.constraints. Example: UniqueConstraint(fields=['student', 'course'], name='unique_enrollment')
How do you handle migrations in production?,"1) Review migration file, 2) Test on staging, 3) Ensure backwards compatibility, 4) Backup first, 5) Use expand-contract pattern"
What is the expand-contract migration pattern?,"Deploy 1: Add new column (expand). Deploy 2: Migrate data + update code. Deploy 3: Remove old column (contract). Enables zero-downtime."
What does on_delete=models.CASCADE mean?,When the referenced object is deleted, also delete the objects that have references to it.
What does on_delete=models.SET_NULL mean?,When the referenced object is deleted, set the foreign key to NULL. Field must have null=True.
What does on_delete=models.PROTECT mean?,Prevent deletion of the referenced object if there are related objects. Raises ProtectedError.
What is the mental model for normalization?,"""Normalize first, denormalize when needed"" — start with data integrity, optimize for reads only when necessary."
What is the mental model for query optimization?,"""Measure, don't guess"" — use tools to identify actual bottlenecks before optimizing."
What is the senior signal for indexing?,"""Indexing is a trade-off between read performance and write cost. I design indexes based on real query patterns, not assumptions."""
What query count check can you do in Django?,"from django.db import connection; print(len(connection.queries)) — shows total queries executed."
What is django-silk used for?,Request profiling in production. Shows queries and performance without impacting application significantly.
What is pg_stat_statements?,PostgreSQL extension that tracks execution statistics of SQL statements. Identifies most expensive queries.
How does select_related handle nested relationships?,"Use double underscore: select_related('job__company') follows Job → Company in one JOIN."
How does prefetch_related handle nested relationships?,"Use double underscore: prefetch_related('job_set__application_set') prefetches multiple levels."
What is Prefetch object used for?,Custom prefetch queries with filtering/ordering. Example: Prefetch('applications', queryset=Application.objects.filter(status='PENDING'))
What does select_related return for missing FK?,Returns None for the related field if the ForeignKey is null. No error.
What's the difference between null=True and blank=True?,"null=True: Database allows NULL. blank=True: Form validation allows empty. For strings, use only blank=True (empty string vs NULL)."
What is the key phrase for database debugging?,"""I use Django Debug Toolbar in development, EXPLAIN ANALYZE for query plans, and django-silk for production profiling."""
What is database connection pooling?,Reusing database connections instead of creating new ones. Reduces overhead. Use django-db-connection-pool or PgBouncer.
What is the interview answer for schema design with example?,"""For example, in a job application system, I model Users, Companies, Jobs, and Applications as separate tables. Applications act as a join table with its own fields like status and created_at. I normalize to avoid duplication and denormalize aggregated fields when needed."""
What are the 3 questions to ask when designing schema?,1) What data needs to be stored? 2) How will the data be accessed? 3) What are the relationships between entities?
What is referential integrity?,Database enforces that ForeignKey values must exist in the referenced table. Prevents orphan records.
Why use DecimalField for money instead of FloatField?,FloatField has precision issues with decimal operations. DecimalField stores exact decimal values. Use max_digits and decimal_places.
What is auto_now_add vs auto_now?,"auto_now_add: Set timestamp on creation only. auto_now: Update timestamp on every save."
What is the default ordering in Django?,"Unordered (database order). Set class Meta: ordering = ['-created_at'] for consistent default ordering."
How do you make a field required at database level?,"Set null=False (default) and blank=False. The field must have a value."
What is database-level validation vs Django validation?,"Database constraints (unique, not null) are enforced by DB engine. Django validation happens in Python. Both layers are important."
What ORM method forces evaluation of a queryset?,"list(), len(), bool(), iteration, slicing with step, repr(), or calling .count()/.exists()"
What is queryset lazy evaluation?,Querysets don't hit the database until evaluated. Allows chaining filters efficiently without multiple DB hits.
What is the exists() method used for?,Efficiently checks if any records match. Returns boolean. More efficient than bool(queryset) or queryset.count() > 0.
What is bulk_create() used for?,Insert multiple objects efficiently in a single query. Example: Model.objects.bulk_create([obj1, obj2, obj3])
What is bulk_update() used for?,Update multiple objects efficiently. Example: Model.objects.bulk_update(objects_list, ['field1', 'field2'])
What is the downside of bulk operations?,Signals and custom save() methods are NOT called. Use when you need raw performance and don't need those features.
What is database transaction in Django?,Atomic operation where all queries succeed or all fail. Use @transaction.atomic decorator or with transaction.atomic(): block.
When should you use select_for_update()?,When you need to lock rows to prevent race conditions. Used inside a transaction for critical updates.
What is the closing phrase for query optimization?,"""I focus on reducing the number of database hits first, because that usually gives the biggest performance improvement."""
