Front,Back
What are the four possible Bloom filter outcomes?,"True negative: not in set, says not in set (100% accurate). True positive: in set, says in set. False positive: not in set, says in set (possible). False negative: in set, says not in set (IMPOSSIBLE — this is the key guarantee)."
What is the Base62 conversion algorithm?,Convert integer ID to base-62 string using chars [0-9a-zA-Z]. Repeatedly: result = CHARS[id % 62]; id //= 62. Reverse result and pad to 7 chars. No collision possible since each ID is unique.
What is the Base62 encoding of integer 11157?,11157 % 62 = 39 → 'd'; 179 % 62 = 55 → 'T'; 2 % 62 = 2 → '2'. Result: '2Td' (padded to '00002Td').
Compare Hash+Collision vs Base62 for URL shortening,"Hash: can collide (must detect), no ID gen needed, harder to enumerate. Base62: no collision, needs distributed ID generator, sequential IDs are guessable. Hash is more private; Base62 is simpler logic."
Why are Base62-generated shortURLs a security concern?,They're based on sequential IDs which can be guessed/enumerated. An attacker can crawl all short URLs by incrementing. Mitigations: use hash-based approach, or add random salt before Base62 encoding.
What is Twitter Snowflake and why use it for URL shortening?,"64-bit ID = 41-bit timestamp + 10-bit machine ID + 12-bit sequence. Generates 4096 unique IDs/ms per machine. Distributed, no central coordinator, time-sorted. Best choice for Base62 ID generation at scale."
What is the URL shortening flow (Figure 8-7)?,"1) Client POSTs longURL. 2) Check DB for existing longURL (idempotency). 3) If new: get ID from ID generator. 4) Convert ID to Base62. 5) Save {id, shortURL, longURL} to DB. 6) Add to cache. 7) Return shortURL."
What is the URL redirecting flow (Figure 8-8)?,"1) Client GETs shortURL. 2) Load Balancer routes to web server. 3) Web server checks Redis cache. 4) Cache HIT: return 301/302 immediately. 5) Cache MISS: query DB, populate cache, return 301/302. 6) Return 404 if not found."
How do you handle idempotency when the same longURL is submitted twice?,"Option A (recommended): Check long_url index first. Return existing shortURL if found. Handle race condition with DB UNIQUE constraint on long_url + retry on violation. Option B: Always create new (wastes storage, confusing UX)."
How do you size the Redis cache for URL shortening?,Top 10% of daily active URLs: 100M × 10% = 10M entries. At ~500 bytes/entry = 5 GB. Fits in a single Redis node. Use LRU eviction.
What is the Pareto principle applied to URL redirecting?,20% of URLs get 80% of traffic. Top 10% cached in Redis → ~80% cache hit rate → only ~20% of redirect requests hit the database.
How do you scale the URL shortener database?,1) Add read replicas (redirect reads are 10× more than writes). 2) Vertical scaling short-term. 3) Horizontal sharding by shortURL hash prefix. 4) Migrate to NoSQL (DynamoDB/Cassandra) for pure key-value access.
Why is NoSQL a natural fit for URL shortening?,Access pattern is pure key-value: shortURL → longURL. No joins, no complex queries. DynamoDB/Cassandra scale horizontally with shortURL as partition key. Trade-off: lose SQL features and auto-increment ID.
What consistency model is needed for URL shortening vs redirecting?,"Creation (writes): strong consistency — two simultaneous creates must not produce the same shortURL. Redirecting (reads): eventual consistency OK — stale cache gives old destination for a few seconds, usually acceptable."
What is a race condition in URL creation and how do you handle it?,Two requests submit the same longURL simultaneously. Both pass the idempotency check before either writes. Solution: DB UNIQUE constraint on long_url. Handle constraint violation by returning the existing record.
How do you add analytics without slowing down redirects?,Publish click event to message queue asynchronously (non-blocking) during redirect handler. Separate analytics consumer processes events. Adds <1ms latency vs direct DB write adding 5-20ms.
What does an analytics event payload look like for URL shortening?,"{ short_url, long_url, timestamp, user_agent, ip_address, referer }. Consumed by analytics pipeline to compute: total clicks, unique visitors, geo-distribution, device breakdown, referrer sources."
How would you support custom aliases (vanity URLs)?,Separate vanity_url table with user_id foreign key. Validate against reserved words (api www admin). Check availability endpoint. Premium feature with rate limits. Validate alphanumeric-only, max length.
What happens when a shortURL expires?,"Return 410 Gone (not 404). 410 means 'resource intentionally removed'. Store expiry_date in url table. Background job (cron or TTL-based) cleans up expired entries and invalidates cache."
How do you prevent phishing abuse of URL shorteners?,Scan destination URL against Google Safe Browsing API on creation. Maintain internal blocklist of known malicious domains. Show interstitial warning page before redirecting. Enable user reporting.
What are the non-functional requirements for a URL shortener?,High availability (redirects must never fail). Low latency (<100ms redirect). Scalability (viral link spikes). Durability (short URLs must not break). Unpredictability (not easily enumerable).
Why can't you use UUID for the shortURL directly?,128-bit UUID in Base62 = ~22 chars. Too long for a 'short' URL. Truncating UUID reintroduces collision risk. Better: use a dedicated ID generator (Snowflake) that produces smaller IDs.
What is the 62^n formula and what n should you pick for 10 years at 100M/day?,Need to cover 365B URLs. 62^6 = 56.8B (too small). 62^7 = 3.5T (covers 365B with 10× safety margin). Answer: n = 7.
What is the rate limiting strategy for a URL shortener?,Token bucket or leaky bucket per API key. Example: 100 URL creations per minute per API key. IP-based fallback for unauthenticated users. 429 Too Many Requests response with Retry-After header.
What is the difference between a URL shortener and a URL redirector?,"URL shortener creates a new short alias and stores the mapping. URL redirector just redirects — no storage needed. A full URL shortener service includes: creation endpoint, redirect endpoint, analytics, expiry, abuse prevention."
