Question,Answer
What is the key phrase for describing DRF experience?,"""Models → Serializers → Views → URLs. Each layer has a clear responsibility."""
What is the key phrase comparing Django vs Flask?,"""Batteries Included vs. Build it Yourself"" - Django provides everything, Flask requires manual setup."
What is the key phrase for ViewSets vs APIViews?,"""Convention over configuration (ViewSets) vs. Full control, full responsibility (APIViews)"""
What is the key phrase for permissions?,"""Decoupled, reusable permission classes"" - separate from views, applied via permission_classes list."
What is the key phrase for serializers?,"""Gatekeeper for validation and transformation"" - validates input, transforms output, controls exposed fields."
What is the key phrase for JWT?,"""Stateless, scalable, ideal for distributed systems"" - no server-side storage needed."
What is the senior mindset about Django's strength?,"""Django không mạnh vì code ít. Django mạnh vì structure rõ + rule rõ"" (Django is strong because of clear structure + clear rules, not just less code)."
What specific method must you override for custom object-level permissions in DRF?,"You must override `has_object_permission(self, request, view, obj)` in a class inheriting from `permissions.BasePermission`."
"In a custom permission class, what is the standard check for Read-Only requests?","`if request.method in permissions.SAFE_METHODS: return True` (Allow GET, HEAD, OPTIONS)."
"How does the ""Driving a Car"" metaphor explain ViewSets vs APIViews?","ViewSets are an ""Automatic Car"" (just press gas/declare model, car shifts gears/routes automatically). APIViews are a ""Manual Car"" (you must shift gears/write every method yourself, but have total control)."
"Why is Django considered ""opinionated"" and why is that good for teams?","It forces a standard structure (MVT pattern, specific file organization). This ensures any Django developer can jump into any project and immediately understand the layout, preventing ""spaghetti code"" common in flexible frameworks."
"Explain the ""Gatekeeper"" role of a Serializer in the request-response cycle.",Request -> Serializer (Validates Input) -> View. View -> Serializer (Transforms/Formats Output) -> Response. It guards both entry (data integrity) and exit (data formatting).
"When creating a custom permission `IsOwnerOrReadOnly`, what is the final return statement logic?","`return obj.owner == request.user`. This ensures only the actual owner of the object can perform ""unsafe"" operations like PUT or DELETE."
"What is the ""Time-to-market"" advantage of Django?","Because of ""Batteries Included"" (Admin, Auth, ORM ready-to-go), you spend time building business features immediately rather than configuring boilerplate, launching products faster."
"In the ""Architect Flow"" visualization, what represents the ""Controller""?",The **Views/ViewSets**. They contain the logic that connects the Database/Models to the Interface/URLs.
"Why is `wsgi.py` described as a ""circuit breaker"" or ""bridge""?",It connects your Python application code to the actual Web Server (like Nginx/Gunicorn). It's the standard interface that allows Python code to handle HTTP requests from the outside world.
What is the risk of using Session-based auth for a mobile app backend?,"Scalability and State issues. Mobile apps often switch networks (WiFi/4G) or drop connections. Sessions require server memory/storage and stateful connections, which is fragile compared to stateless JWT tokens."
